,timestamp,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
0,1659342875,Brooklyn,Clinton Hill,Private room,76,3,163,5.22,2,53,yes,79.0
1,1659342901,Manhattan,Hell's Kitchen,Entire home/apt,109,2,26,0.49,1,139,yes,110.0
2,1659342911,Brooklyn,East Flatbush,Private room,54,2,0,0.0,2,336,yes,43.0
3,1659342991,Brooklyn,Williamsburg,Private room,42,20,0,0.0,1,0,no,40.0
4,1659343036,Manhattan,Midtown,Private room,107,3,133,6.08,1,9,yes,110.0
5,1659343069,Manhattan,East Village,Entire home/apt,198,2,0,0.0,2,344,yes,199.0
6,1659343120,Brooklyn,Fort Greene,Private room,100,1,1,0.03,2,0,no,111.0
7,1659343177,Manhattan,Harlem,Entire home/apt,100,3,16,0.66,1,0,no,96.0
8,1659343383,Brooklyn,Williamsburg,Private room,100,2,1,0.04,1,0,no,69.0
9,1659343435,Brooklyn,Other,Entire home/apt,83,1,42,1.79,1,348,yes,83.0
10,1659343533,Manhattan,Midtown,Entire home/apt,199,3,0,0.0,2,0,no,211.0
11,1659343535,Queens,Other,Entire home/apt,75,10,1,0.04,1,0,no,93.0
12,1659343536,Manhattan,Hell's Kitchen,Entire home/apt,499,30,0,0.0,8,185,yes,503.0
13,1659343576,Brooklyn,Williamsburg,Entire home/apt,90,7,0,0.0,1,0,no,72.0
14,1659343636,Queens,Astoria,Private room,80,2,26,1.18,2,364,yes,77.0
15,1659343667,Bronx,Other,Private room,39,2,0,0.0,7,177,yes,43.0
16,1659343775,Manhattan,East Harlem,Private room,105,2,5,0.1,1,273,yes,103.0
17,1659343835,Brooklyn,Prospect-Lefferts Gardens,Private room,55,3,0,0.0,1,0,no,65.0
18,1659343931,Brooklyn,Other,Private room,99,1,8,0.17,2,0,no,99.0
19,1659344017,Manhattan,East Harlem,Entire home/apt,465,3,74,1.67,1,62,yes,471.0
20,1659344040,Manhattan,Harlem,Entire home/apt,129,1,160,4.31,3,246,yes,116.0
21,1659344105,Brooklyn,Bushwick,Private room,60,2,113,4.15,2,3,yes,68.0
22,1659344108,Brooklyn,Other,Private room,80,2,24,0.33,1,0,no,81.0
23,1659344181,Manhattan,East Village,Entire home/apt,225,2,0,0.0,1,310,yes,235.0
24,1659344364,Brooklyn,Other,Entire home/apt,150,3,6,0.17,1,1,yes,160.0
25,1659344373,Manhattan,Upper West Side,Private room,99,2,165,3.56,1,105,yes,99.0
26,1659344465,Manhattan,Upper West Side,Entire home/apt,377,30,0,0.0,232,334,yes,375.0
27,1659344472,Manhattan,East Village,Private room,100,1,0,0.0,1,0,no,92.0
28,1659344726,Brooklyn,Bushwick,Private room,48,2,28,1.51,1,3,yes,50.0
29,1659344864,Manhattan,Other,Entire home/apt,262,2,8,1.86,327,91,yes,250.0
30,1659345071,Brooklyn,Prospect-Lefferts Gardens,Private room,90,1,100,7.71,3,316,yes,92.0
31,1659345078,Manhattan,Harlem,Entire home/apt,100,7,2,0.04,1,0,no,108.0
32,1659345221,Manhattan,Lower East Side,Entire home/apt,200,4,25,1.12,1,352,yes,191.0
33,1659345231,Manhattan,Other,Private room,46,7,1,0.03,1,0,no,55.0
34,1659345312,Manhattan,Hell's Kitchen,Entire home/apt,295,3,2,0.52,2,2,yes,288.0
35,1659345318,Queens,Long Island City,Entire home/apt,151,2,87,2.3,1,17,yes,144.0
36,1659345333,Brooklyn,East Flatbush,Private room,90,1,2,0.97,1,0,no,80.0
37,1659345399,Brooklyn,Bedford-Stuyvesant,Private room,32,2,3,0.12,1,0,no,49.0
38,1659345459,Manhattan,Other,Entire home/apt,325,2,5,1.24,1,31,yes,327.0
39,1659345525,Staten Island,Other,Entire home/apt,62,1,0,0.0,1,0,no,73.0
40,1659345627,Brooklyn,Bushwick,Private room,65,1,57,4.76,1,48,yes,71.0
41,1659345639,Queens,Astoria,Entire home/apt,165,3,2,0.27,1,0,no,162.0
42,1659345655,Brooklyn,Bedford-Stuyvesant,Private room,79,4,1,0.02,1,359,yes,93.0
43,1659345666,Manhattan,Upper East Side,Private room,130,1,0,0.0,1,0,no,146.0
44,1659345715,Brooklyn,Flatbush,Entire home/apt,165,5,8,0.66,1,258,yes,163.0
45,1659345808,Bronx,Other,Private room,125,1,0,0.0,1,0,no,121.0
46,1659346016,Manhattan,East Village,Private room,65,2,147,5.07,3,18,yes,50.0
47,1659346149,Brooklyn,Bedford-Stuyvesant,Private room,58,2,0,0.0,2,0,no,56.0
48,1659346228,Manhattan,Midtown,Private room,200,5,41,1.2,1,333,yes,187.0
49,1659346270,Brooklyn,Williamsburg,Entire home/apt,200,5,11,0.92,1,0,no,202.0
50,1659346277,Queens,Other,Entire home/apt,300,3,0,0.0,1,5,yes,301.0
51,1659346291,Brooklyn,Bedford-Stuyvesant,Private room,60,1,145,3.26,3,313,yes,60.0
52,1659346345,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,1,3,0.13,1,0,no,86.0
53,1659346407,Manhattan,Other,Entire home/apt,253,30,0,0.0,232,203,yes,249.0
54,1659346524,Brooklyn,Prospect-Lefferts Gardens,Private room,99,2,5,0.16,1,364,yes,118.0
55,1659346582,Manhattan,East Harlem,Entire home/apt,200,6,32,1.73,2,251,yes,202.0
56,1659346685,Manhattan,Other,Entire home/apt,225,30,0,0.0,49,364,yes,223.0
57,1659346711,Manhattan,Midtown,Entire home/apt,385,30,0,0.0,65,364,yes,377.0
58,1659346874,Brooklyn,Williamsburg,Entire home/apt,200,3,3,0.42,1,0,no,191.0
59,1659346895,Queens,Other,Private room,55,2,7,0.76,2,155,yes,41.0
60,1659346952,Brooklyn,Bushwick,Entire home/apt,125,2,103,3.57,1,185,yes,116.0
61,1659346989,Brooklyn,Other,Private room,64,2,35,0.46,1,329,yes,69.0
62,1659347034,Brooklyn,Fort Greene,Entire home/apt,250,2,109,3.22,2,243,yes,241.0
63,1659347333,Manhattan,Upper West Side,Entire home/apt,140,30,2,0.06,96,244,yes,153.0
64,1659347363,Queens,Other,Private room,59,2,13,0.9,1,35,yes,51.0
65,1659347380,Brooklyn,Other,Entire home/apt,200,3,2,0.03,1,0,no,207.0
66,1659347394,Manhattan,Chelsea,Entire home/apt,170,3,6,0.84,1,170,yes,168.0
67,1659347420,Brooklyn,Greenpoint,Entire home/apt,150,2,68,1.93,1,100,yes,160.0
68,1659347432,Manhattan,East Village,Entire home/apt,650,3,1,0.16,1,0,no,648.0
69,1659347448,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,8,1.41,1,0,no,120.0
70,1659347452,Manhattan,Other,Private room,65,3,43,0.81,1,35,yes,58.0
71,1659347502,Brooklyn,Bedford-Stuyvesant,Private room,63,1,1,0.7,1,0,no,55.0
72,1659347553,Manhattan,Other,Private room,98,1,10,0.24,5,0,no,98.0
73,1659347658,Queens,Other,Entire home/apt,195,3,124,2.2,1,305,yes,199.0
74,1659347676,Brooklyn,Greenpoint,Private room,63,7,0,0.0,1,0,no,61.0
75,1659347689,Brooklyn,Williamsburg,Entire home/apt,170,3,7,0.28,1,0,no,176.0
76,1659347693,Brooklyn,Flatbush,Private room,120,1,87,2.53,3,313,yes,116.0
77,1659347702,Manhattan,East Village,Entire home/apt,157,30,0,0.0,4,0,no,174.0
78,1659347732,Manhattan,West Village,Entire home/apt,89,1,0,0.0,8,72,yes,104.0
79,1659347790,Manhattan,Hell's Kitchen,Entire home/apt,450,2,0,0.0,3,365,yes,453.0
80,1659347838,Manhattan,Washington Heights,Private room,40,3,1,0.15,1,245,yes,26.0
81,1659347909,Manhattan,Lower East Side,Private room,120,1,0,0.0,1,352,yes,120.0
82,1659347927,Queens,Astoria,Private room,51,2,21,1.86,3,151,yes,52.0
83,1659347961,Manhattan,Washington Heights,Private room,45,2,3,0.07,1,0,no,32.0
84,1659347994,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,2,0,0.0,1,0,no,104.0
85,1659348108,Brooklyn,Crown Heights,Entire home/apt,100,2,7,1.03,1,0,no,112.0
86,1659348164,Manhattan,Washington Heights,Private room,150,1,0,0.0,1,0,no,141.0
87,1659348276,Brooklyn,Crown Heights,Entire home/apt,120,30,14,0.22,1,108,yes,126.0
88,1659348364,Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,3,35,0.9,1,39,yes,107.0
89,1659348388,Brooklyn,Crown Heights,Private room,85,1,9,5.4,2,173,yes,87.0
90,1659348408,Manhattan,Harlem,Private room,79,1,63,3.28,3,51,yes,75.0
91,1659348431,Manhattan,Upper West Side,Private room,105,1,8,2.4,4,0,no,93.0
92,1659348504,Manhattan,East Harlem,Private room,150,1,225,4.95,4,0,no,141.0
93,1659348583,Manhattan,Financial District,Entire home/apt,100,29,1,0.88,327,358,yes,100.0
94,1659348619,Brooklyn,Other,Private room,150,2,1,0.14,2,354,yes,149.0
95,1659348637,Brooklyn,Bedford-Stuyvesant,Entire home/apt,275,3,43,4.54,1,123,yes,280.0
96,1659348721,Manhattan,East Harlem,Entire home/apt,200,7,28,0.55,3,363,yes,215.0
97,1659348785,Bronx,Other,Private room,41,2,12,0.35,2,0,no,21.0
98,1659348799,Manhattan,East Village,Entire home/apt,160,4,6,0.65,1,6,yes,158.0
99,1659348859,Brooklyn,Flatbush,Entire home/apt,105,3,5,5.0,1,51,yes,106.0
100,1659349022,Manhattan,Financial District,Private room,145,1,0,0.0,2,35,yes,147.0
