,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
0,Brooklyn,Bedford-Stuyvesant,Entire home/apt,80,2,19,4.67,1,81,yes,72
1,Brooklyn,Williamsburg,Entire home/apt,270,7,0,,1,0,no,272
2,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,5,4,1.2,1,0,no,138
3,Manhattan,Other,Private room,91,2,26,0.44,1,0,no,90
4,Queens,Long Island City,Entire home/apt,210,3,1,0.16,1,0,no,206
5,Manhattan,East Village,Private room,149,2,0,,1,0,no,159
6,Queens,Astoria,Private room,150,2,2,0.08,1,87,yes,147
7,Manhattan,East Village,Private room,110,3,81,0.85,2,274,yes,143
8,Manhattan,Washington Heights,Private room,65,3,1,0.02,1,0,no,62
9,Manhattan,Other,Entire home/apt,185,30,5,0.1,39,1,yes,205
10,Manhattan,Upper West Side,Private room,85,2,4,0.11,1,0,no,83
11,Brooklyn,Bedford-Stuyvesant,Private room,250,2,0,,2,173,yes,234
12,Queens,Long Island City,Private room,108,2,13,1.74,1,333,yes,119
13,Queens,Long Island City,Entire home/apt,180,6,1,0.03,1,0,no,184
14,Brooklyn,Greenpoint,Entire home/apt,199,3,8,0.25,1,0,no,191
15,Brooklyn,Other,Private room,63,1,51,2.89,1,6,yes,62
16,Brooklyn,Crown Heights,Private room,50,30,0,,1,113,yes,64
17,Brooklyn,Other,Private room,39,1,130,2.32,10,26,yes,50
18,Manhattan,Other,Entire home/apt,150,30,3,1.25,1,33,yes,168
19,Manhattan,West Village,Entire home/apt,157,5,1,0.13,1,0,no,162
20,Manhattan,Midtown,Private room,86,7,0,,1,0,no,96
21,Brooklyn,Williamsburg,Entire home/apt,259,1,9,6.0,1,202,yes,261
22,Manhattan,Midtown,Entire home/apt,350,6,3,0.22,1,351,yes,338
23,Brooklyn,Greenpoint,Private room,34,1,0,,1,0,no,43
24,Manhattan,Midtown,Entire home/apt,218,5,69,1.81,2,152,yes,209
25,Brooklyn,Crown Heights,Entire home/apt,119,2,2,0.15,1,0,no,123
26,Brooklyn,Bedford-Stuyvesant,Private room,160,2,0,,1,363,yes,149
27,Brooklyn,Bushwick,Private room,65,4,1,0.38,1,0,no,76
28,Bronx,Other,Entire home/apt,150,1,0,,1,88,yes,145
29,Manhattan,Other,Private room,80,1,1,0.03,1,0,no,74
30,Queens,Other,Private room,55,1,90,1.72,4,310,yes,62
31,Brooklyn,Other,Private room,49,1,26,4.08,1,174,yes,49
32,Manhattan,Hell's Kitchen,Shared room,39,1,44,4.0,1,31,yes,58
33,Manhattan,East Harlem,Entire home/apt,300,2,1,0.16,1,0,no,307
34,Brooklyn,Bushwick,Private room,90,1,2,0.25,1,29,yes,82
35,Brooklyn,Greenpoint,Private room,55,4,197,1.65,3,284,yes,40
36,Brooklyn,Other,Private room,99,1,8,0.17,2,0,no,114
37,Manhattan,Hell's Kitchen,Entire home/apt,175,4,1,0.03,1,0,no,177
38,Brooklyn,Crown Heights,Entire home/apt,95,5,3,0.14,1,20,yes,105
39,Manhattan,West Village,Entire home/apt,310,2,4,0.48,2,8,yes,309
40,Brooklyn,Bushwick,Private room,75,2,0,,1,0,no,59
41,Manhattan,Hell's Kitchen,Entire home/apt,115,30,3,0.06,52,342,yes,114
42,Brooklyn,Williamsburg,Entire home/apt,250,3,7,0.38,1,0,no,252
43,Manhattan,Other,Private room,125,1,0,,1,0,no,132
44,Manhattan,Upper West Side,Entire home/apt,165,8,1,1.0,1,62,yes,163
45,Manhattan,Upper West Side,Entire home/apt,150,20,0,,1,0,no,132
46,Brooklyn,Other,Entire home/apt,180,1,183,2.9,1,197,yes,163
47,Manhattan,Hell's Kitchen,Private room,135,3,126,4.42,1,3,yes,150
48,Queens,Other,Private room,34,1,0,,1,0,no,34
49,Brooklyn,Bushwick,Private room,75,20,1,0.11,1,93,yes,82
50,Manhattan,West Village,Entire home/apt,220,5,1,0.03,1,0,no,233
51,Brooklyn,Other,Entire home/apt,85,10,3,0.06,1,0,no,91
52,Queens,Other,Entire home/apt,75,3,9,0.45,1,0,no,81
53,Queens,Other,Private room,42,3,10,3.09,3,352,yes,42
54,Manhattan,Other,Entire home/apt,275,1,81,2.64,1,258,yes,278
55,Brooklyn,Fort Greene,Entire home/apt,150,3,4,4.0,1,15,yes,149
56,Brooklyn,Flatbush,Entire home/apt,125,1,22,1.8,1,93,yes,131
57,Queens,Other,Private room,60,2,105,2.72,1,101,yes,65
58,Manhattan,Harlem,Private room,75,4,0,,1,113,yes,74
59,Brooklyn,Crown Heights,Private room,50,14,43,0.8,1,313,yes,52
60,Manhattan,East Village,Entire home/apt,450,1,45,1.17,1,287,yes,455
61,Queens,Other,Entire home/apt,99,2,2,1.18,2,139,yes,116
62,Manhattan,Lower East Side,Entire home/apt,110,1,1,0.02,1,0,no,127
63,Manhattan,Upper East Side,Private room,100,1,32,5.45,4,184,yes,97
64,Brooklyn,Other,Private room,38,4,4,0.13,1,0,no,50
65,Manhattan,Other,Entire home/apt,195,3,19,0.43,1,34,yes,196
66,Brooklyn,Greenpoint,Entire home/apt,115,30,8,0.37,1,183,yes,105
67,Brooklyn,Greenpoint,Entire home/apt,210,10,0,,1,83,yes,196
68,Brooklyn,Greenpoint,Entire home/apt,115,7,3,0.48,1,11,yes,106
69,Queens,Other,Private room,45,2,27,0.42,1,190,yes,42
70,Bronx,Other,Private room,38,3,15,0.28,3,0,no,32
71,Manhattan,East Village,Entire home/apt,200,2,12,1.52,1,0,no,197
72,Queens,Other,Private room,59,1,15,2.98,2,67,yes,72
73,Manhattan,Upper West Side,Private room,99,2,165,3.56,1,105,yes,99
74,Manhattan,Other,Private room,110,1,0,,1,0,no,102
75,Brooklyn,Other,Entire home/apt,130,1,94,1.92,1,0,no,148
76,Queens,Other,Private room,50,2,10,4.76,2,257,yes,45
77,Brooklyn,Bushwick,Private room,55,2,2,0.32,1,0,no,40
78,Queens,Other,Private room,42,30,0,,103,219,yes,35
79,Manhattan,East Village,Entire home/apt,600,5,70,4.49,3,6,yes,596
80,Brooklyn,Williamsburg,Entire home/apt,289,30,32,3.06,1,60,yes,289
81,Manhattan,East Village,Shared room,40,7,0,,1,42,yes,24
82,Manhattan,West Village,Entire home/apt,400,1,3,0.08,1,0,no,426
83,Manhattan,Financial District,Entire home/apt,124,29,0,,327,354,yes,111
84,Brooklyn,Williamsburg,Private room,75,2,0,,1,0,no,92
85,Queens,Other,Private room,60,2,7,2.63,5,305,yes,65
86,Brooklyn,Bedford-Stuyvesant,Entire home/apt,107,2,147,1.89,1,27,yes,115
87,Manhattan,Upper West Side,Private room,60,4,11,0.3,1,0,no,62
88,Manhattan,Washington Heights,Entire home/apt,70,3,34,0.81,1,0,no,89
89,Queens,Other,Entire home/apt,99,5,7,1.62,6,319,yes,85
90,Queens,Long Island City,Private room,40,25,8,0.12,3,0,no,32
91,Manhattan,Harlem,Entire home/apt,250,7,1,0.16,1,0,no,250
92,Manhattan,Midtown,Entire home/apt,250,5,5,0.51,2,179,yes,245
93,Brooklyn,Bedford-Stuyvesant,Private room,45,1,1,0.14,2,0,no,54
94,Brooklyn,Bedford-Stuyvesant,Private room,85,4,0,,1,89,yes,86
95,Manhattan,Other,Entire home/apt,140,2,2,0.14,1,0,no,116
96,Manhattan,Other,Private room,99,3,0,,3,180,yes,102
97,Brooklyn,Bedford-Stuyvesant,Private room,40,20,42,1.12,2,257,yes,16
98,Manhattan,East Village,Entire home/apt,100,5,6,0.07,1,0,no,92
99,Manhattan,Harlem,Entire home/apt,125,4,9,0.94,1,245,yes,125
100,Brooklyn,Williamsburg,Entire home/apt,175,4,6,0.16,1,157,yes,173
101,Manhattan,Harlem,Private room,50,30,1,0.17,6,304,yes,43
102,Manhattan,Lower East Side,Entire home/apt,150,2,121,2.02,1,0,no,151
103,Brooklyn,Clinton Hill,Entire home/apt,130,7,1,0.03,1,0,no,131
104,Brooklyn,Other,Entire home/apt,119,2,174,3.88,2,65,yes,132
105,Queens,Other,Entire home/apt,160,7,3,0.06,2,15,yes,173
106,Bronx,Other,Entire home/apt,100,7,0,,1,180,yes,100
107,Brooklyn,Fort Greene,Entire home/apt,220,14,0,,1,31,yes,231
108,Manhattan,Harlem,Entire home/apt,150,1,5,0.08,1,0,no,142
109,Queens,Other,Private room,85,1,1,0.02,1,0,no,66
110,Manhattan,Harlem,Entire home/apt,100,2,27,0.76,1,0,no,115
111,Manhattan,West Village,Entire home/apt,300,3,108,1.44,1,318,yes,288
112,Manhattan,East Harlem,Private room,70,1,0,,1,0,no,53
113,Brooklyn,Bushwick,Entire home/apt,99,2,12,1.71,2,46,yes,101
114,Manhattan,Upper West Side,Entire home/apt,180,3,6,1.28,1,0,no,170
115,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,115,2,4,0.36,2,86,yes,115
116,Brooklyn,Other,Entire home/apt,120,4,45,1.98,1,44,yes,113
117,Brooklyn,Bedford-Stuyvesant,Private room,100,2,0,,2,89,yes,112
118,Manhattan,Harlem,Entire home/apt,119,1,29,3.02,1,103,yes,108
119,Brooklyn,Other,Entire home/apt,285,5,4,0.36,2,19,yes,285
120,Manhattan,Other,Entire home/apt,150,3,1,0.05,1,0,no,155
121,Queens,Other,Private room,55,7,1,0.05,2,353,yes,45
122,Manhattan,Upper West Side,Entire home/apt,150,1,0,,1,0,no,128
123,Queens,Other,Private room,75,1,11,4.65,3,68,yes,92
124,Brooklyn,Williamsburg,Private room,100,1,0,,1,0,no,105
125,Brooklyn,Bedford-Stuyvesant,Private room,50,14,1,0.13,3,364,yes,55
126,Manhattan,Hell's Kitchen,Private room,209,1,6,1.01,8,88,yes,191
127,Manhattan,Upper East Side,Entire home/apt,161,1,0,,1,22,yes,161
128,Brooklyn,Williamsburg,Entire home/apt,109,3,6,0.31,1,0,no,99
129,Brooklyn,East Flatbush,Entire home/apt,149,2,24,2.11,1,145,yes,141
130,Brooklyn,Bedford-Stuyvesant,Entire home/apt,469,9,7,0.16,2,48,yes,478
131,Brooklyn,Greenpoint,Entire home/apt,230,2,6,0.13,2,272,yes,219
132,Manhattan,Upper West Side,Entire home/apt,315,2,1,0.05,1,0,no,316
133,Queens,Astoria,Private room,85,11,0,,1,0,no,87
134,Brooklyn,Williamsburg,Entire home/apt,300,3,0,,1,0,no,322
135,Manhattan,Harlem,Shared room,75,1,6,0.1,1,315,yes,79
136,Brooklyn,Williamsburg,Entire home/apt,88,4,6,0.24,1,1,yes,77
137,Manhattan,Other,Entire home/apt,185,30,0,,91,0,no,182
138,Manhattan,Other,Entire home/apt,175,4,2,0.15,1,3,yes,174
139,Brooklyn,Other,Entire home/apt,140,3,131,3.24,1,28,yes,140
140,Manhattan,East Harlem,Entire home/apt,150,1,14,0.76,3,353,yes,144
141,Queens,Other,Private room,57,1,50,1.85,1,38,yes,58
142,Brooklyn,Clinton Hill,Entire home/apt,115,7,6,0.1,1,0,no,120
143,Brooklyn,Greenpoint,Entire home/apt,150,5,6,0.49,1,0,no,170
144,Manhattan,Harlem,Entire home/apt,125,21,12,0.15,2,267,yes,125
145,Queens,Other,Private room,85,1,115,4.94,5,76,yes,90
146,Manhattan,Washington Heights,Private room,50,1,14,0.8,1,63,yes,50
147,Manhattan,West Village,Entire home/apt,145,3,100,2.62,1,0,no,155
148,Manhattan,Upper West Side,Entire home/apt,299,4,38,0.56,1,3,yes,304
149,Brooklyn,Other,Private room,125,3,181,3.67,1,111,yes,125
150,Queens,Other,Private room,53,1,9,0.29,4,0,no,65
151,Brooklyn,Other,Entire home/apt,147,6,14,1.84,1,14,yes,147
152,Manhattan,Upper West Side,Private room,49,1,0,,1,14,yes,41
153,Queens,Other,Private room,73,1,25,2.43,4,317,yes,83
154,Manhattan,Harlem,Entire home/apt,70,4,9,0.44,1,0,no,63
155,Brooklyn,Bushwick,Private room,80,2,9,0.14,1,0,no,84
156,Brooklyn,Park Slope,Entire home/apt,195,3,47,2.39,1,55,yes,192
